Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27- (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27- (Plasmablast):Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27+ (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27+ (Plasmablast):Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27- (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27- (Plasmablast):Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgA+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+/IgD+IgG+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgG+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgG+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD-/IgM+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/PE+AF647+/IgD+/IgMnaive:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgD+IgG+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgMnaive:Count
